id;title;content;date;views;img;img_content_type
1;female or;../fake-data/blob/hipster.txt;2023-07-11T22:32:44;65846;../fake-data/blob/hipster.png;image/png
2;копирование composite;../fake-data/blob/hipster.txt;2023-07-11T10:05:17;17953;../fake-data/blob/hipster.png;image/png
3;Northwest;../fake-data/blob/hipster.txt;2023-07-11T23:23:19;91965;../fake-data/blob/hipster.png;image/png
4;inexperienced Острова Дом;../fake-data/blob/hipster.txt;2023-07-12T03:02:32;15892;../fake-data/blob/hipster.png;image/png
5;conscript обход Nickel;../fake-data/blob/hipster.txt;2023-07-12T05:54:54;28595;../fake-data/blob/hipster.png;image/png
6;оранжевый;../fake-data/blob/hipster.txt;2023-07-12T03:11:06;31251;../fake-data/blob/hipster.png;image/png
7;Областной AGP;../fake-data/blob/hipster.txt;2023-07-12T00:32:21;11014;../fake-data/blob/hipster.png;image/png
8;Потрясающий логистический резервное;../fake-data/blob/hipster.txt;2023-07-12T06:11:42;37577;../fake-data/blob/hipster.png;image/png
9;questionably Бетонный Avon;../fake-data/blob/hipster.txt;2023-07-11T11:58:35;27444;../fake-data/blob/hipster.png;image/png
10;объект Каргасок;../fake-data/blob/hipster.txt;2023-07-12T06:16:30;9073;../fake-data/blob/hipster.png;image/png
