id;title;content;date;views;img;img_content_type
1;Mazda;../fake-data/blob/hipster.txt;2023-07-11T18:34:57;27971;../fake-data/blob/hipster.png;image/png
2;Rupee streamline техник;../fake-data/blob/hipster.txt;2023-07-11T12:02:08;13514;../fake-data/blob/hipster.png;image/png
3;Latin Свободный lasso;../fake-data/blob/hipster.txt;2023-07-12T00:40:15;10105;../fake-data/blob/hipster.png;image/png
4;by;../fake-data/blob/hipster.txt;2023-07-12T07:15:12;66623;../fake-data/blob/hipster.png;image/png
5;Southwest функциональный Avon;../fake-data/blob/hipster.txt;2023-07-12T04:06:03;98181;../fake-data/blob/hipster.png;image/png
6;framework dearly;../fake-data/blob/hipster.txt;2023-07-11T14:39:03;11320;../fake-data/blob/hipster.png;image/png
7;Стальной область БИОС;../fake-data/blob/hipster.txt;2023-07-12T06:57:31;45328;../fake-data/blob/hipster.png;image/png
8;Radon Account;../fake-data/blob/hipster.txt;2023-07-12T10:30:41;36257;../fake-data/blob/hipster.png;image/png
9;Стальной;../fake-data/blob/hipster.txt;2023-07-11T23:17:21;38495;../fake-data/blob/hipster.png;image/png
10;projection feisty переопределение;../fake-data/blob/hipster.txt;2023-07-12T03:26:04;73707;../fake-data/blob/hipster.png;image/png
